pred_precio_log,precio_pred,id
5.954765,385.59,18674
5.951742,384.42,23197
6.0177503,410.65,34981
3.621529,37.39,36763
5.2514315,190.84,40983
6.1139717,452.13,71520
5.237042,188.11,71553
4.4595003,86.44,71736
5.3895984,219.12,72436
5.293474,199.03,75411
5.275335,195.46,80004
5.52959,252.04,89776
5.2829967,196.96,110041
5.8820825,358.56,112538
5.4762573,238.95,135513
3.8714952,48.01,136670
4.2306147,68.76,144471
4.080173,59.16,144801
3.0449243,21.01,147275
5.3216968,204.73,171646
5.284373,197.23,171816
5.738473,310.59,174382
4.254688,70.43,183650
6.219253,502.33,188267
6.2458563,515.87,196021
6.2169814,501.19,198958
5.2702165,194.46,206122
5.1585264,173.91,206167
5.447734,232.23,209673
5.393257,219.92,234375
5.398609,221.1,252232
5.9779053,394.61,268017
5.8826685,358.77,268022
5.1871495,178.96,269467
6.0404644,420.09,272282
5.0977387,163.65,273229
5.507417,246.51,273932
5.529182,251.94,274156
5.822561,337.84,275336
5.8086624,333.17,275346
4.6546354,105.07,275350
5.425022,227.02,283231
4.373782,79.34,288034
4.9540806,141.75,290535
5.2460017,189.81,315769
5.257515,192.0,320506
5.3274984,205.92,330766
5.646751,283.37,330957
4.1599565,64.07,341563
5.4383745,230.07,343864
5.3755903,216.07,343866
5.229646,186.73,347824
5.8128014,334.56,351395
5.3952518,220.36,352772
5.527358,251.48,353640
5.6287084,278.3,357576
5.315775,203.52,359841
5.4444137,231.46,364030
5.702847,299.72,365911
4.814934,123.34,370665
5.4976077,244.11,373667
6.0749106,434.81,384063
5.835609,342.27,384464
5.178039,177.33,393717
5.1552095,173.33,399772
5.4930134,242.99,402369
5.455877,234.13,408599
5.6909833,296.18,424137
5.5033655,245.52,424294
6.3721156,585.29,425639
5.655001,285.72,432482
3.7566268,42.8,438102
5.3990493,221.2,439057
5.453335,233.54,443110
5.451309,233.06,443222
5.244139,189.45,449854
5.440074,230.46,449999
5.4554973,234.04,451758
5.909339,368.46,457195
4.496388,89.69,469157
5.7598844,317.31,469177
5.2658086,193.6,469710
5.762576,318.17,472062
5.7016754,299.37,473395
5.8075275,332.8,473459
5.56665,261.56,481739
5.2326083,187.28,487233
5.6392345,281.25,490517
5.6479616,283.71,490803
4.724985,112.73,502436
5.881558,358.37,503765
5.689613,295.78,504657
5.503406,245.53,508212
5.108037,165.35,510923
5.7640595,318.64,511739
5.6389217,281.16,512387
5.68637,294.82,512666
5.4371147,229.78,512737
5.905121,366.91,513825
6.124412,456.88,517407
4.1376395,62.65,519316
5.7672276,319.65,519494
5.9119115,369.41,519631
5.641248,281.81,520389
5.5635552,260.75,522705
6.0675254,431.61,531195
5.5485773,256.87,534410
6.030748,416.03,534550
5.368763,214.6,537176
5.7398844,311.03,548052
5.34693,209.96,548085
4.5036983,90.35,554955
5.341405,208.81,558886
4.0368977,56.65,562020
5.10327,164.56,563971
4.286859,72.74,567962
3.6299531,37.71,568129
3.582663,35.97,568185
5.282116,196.79,569610
4.1807146,65.41,572646
3.593755,36.37,576046
5.7338786,309.17,576550
6.356475,576.21,578558
5.886481,360.14,582364
5.7874174,326.17,584348
5.537796,254.12,585762
4.422211,83.28,585872
5.3967066,220.68,588268
5.399268,221.24,588996
5.387523,218.66,590503
5.5245576,250.78,594580
5.511732,247.58,598329
4.914822,136.3,600162
5.5913377,268.09,615381
4.431718,84.08,617704
5.518125,249.17,619728
5.898174,364.37,636702
5.3770328,216.38,639820
5.363865,213.55,645513
5.254295,191.39,659469
6.1018324,446.68,663096
5.5028276,245.38,667177
5.177216,177.19,670782
5.247989,190.18,671458
2.2702827,9.68,675175
6.639424,764.65,682808
5.359347,212.59,682871
3.518346,33.73,684639
3.385002,29.52,684643
5.221348,185.18,688527
5.2627926,193.02,688946
5.363656,213.5,698593
5.700299,298.96,699920
6.0006623,403.7,700150
5.1419997,171.06,715036
5.682674,293.73,721378
5.1612573,174.38,721470
5.28154,196.67,721471
5.564228,260.92,721473
5.7823257,324.51,721478
5.7517204,314.73,721479
5.878858,357.4,721504
5.4333863,228.92,721509
5.7030864,299.79,721510
5.7780347,323.12,721511
5.2725086,194.9,721512
5.496335,243.8,722742
4.532752,93.01,723462
5.211195,183.31,725009
5.934621,377.9,728480
5.3203487,204.46,729078
2.8624249,17.5,731049
5.5050125,245.92,739557
5.258119,192.12,742156
5.3098145,202.31,742241
5.4976835,244.13,743612
5.0023336,148.76,744153
5.9924254,400.38,745220
6.0935884,443.01,745275
5.2020593,181.65,746086
3.2643635,26.16,748693
5.2358236,187.88,750066
6.009434,407.25,753322
3.6532762,38.6,756588
5.624067,277.01,757149
5.662858,287.97,759769
4.4087996,82.17,760981
5.194616,180.3,764452
5.5500636,257.25,767596
5.626602,277.72,767889
5.481553,240.22,770175
5.471101,237.72,773886
5.2492013,190.41,775644
5.162705,174.64,775794
5.47476,238.59,776038
6.34154,567.67,777476
5.483811,240.76,777587
4.984828,146.18,790404
4.906683,135.19,790475
4.2526965,70.29,799240
5.3723063,215.36,800045
5.6947412,297.3,801237
5.3274016,205.9,804268
5.118075,167.01,811918
5.569098,262.2,814172
5.5951915,269.13,814177
5.6205935,276.05,814202
5.6083293,272.69,814226
4.2566643,70.57,820497
5.465617,236.42,821100
5.246292,189.86,821523
5.603352,271.33,823272
5.457198,234.44,824902
4.333576,76.22,827250
5.888277,360.78,832755
5.287994,197.95,839655
5.478948,239.59,842126
5.417898,225.4,842389
5.7049227,300.34,846423
5.3251786,205.45,847195
5.943702,381.34,852195
5.7865596,325.89,865191
5.408371,223.27,871899
5.4395304,230.33,875171
6.5975466,733.29,876101
5.703142,299.81,877884
5.0477667,155.67,883382
5.130682,169.13,884420
5.380922,217.22,886088
5.969614,391.35,887953
5.955445,385.85,888988
5.5011744,244.98,889575
5.575999,264.01,892906
5.355868,211.85,892922
5.701709,299.38,892949
5.156355,173.53,893052
5.517774,249.08,893399
5.9059815,367.23,895091
5.63064,278.84,896367
3.5738657,35.65,900045
5.9087424,368.24,902403
5.59563,269.25,903135
5.565982,261.38,904862
5.123491,167.92,906559
5.119394,167.23,912414
6.1287947,458.88,915823
5.7056007,300.55,916232
6.698565,811.24,917308
5.340173,208.55,918481
4.7641664,117.23,918907
5.48423,240.86,922906
5.2827063,196.9,922907
5.567941,261.89,925557
4.0318465,56.36,928725
5.585691,266.58,929663
6.141905,464.94,931437
4.879203,131.53,931756
5.708659,301.47,934979
4.9644337,143.23,936734
5.0594935,157.51,936781
5.5458083,256.16,936850
5.3033485,201.01,936900
5.8012915,330.73,937331
5.4237633,226.73,937657
5.5668006,261.6,939692
5.973572,392.91,939792
5.858097,350.06,940338
5.1950564,180.38,940374
5.5858693,266.63,942410
5.3737245,215.66,945007
5.5703115,262.52,945564
5.4859467,241.28,946122
6.0719337,433.52,947269
5.3913484,219.5,951364
5.4052815,222.58,956256
5.85665,349.55,956768
5.2429833,189.23,957402
5.224956,185.85,957657
5.860195,350.79,959089
5.2826643,196.89,961548
5.4566827,234.32,963289
6.106291,448.67,963533
5.5724087,263.07,965712
5.886468,360.13,965733
5.9045563,366.7,967346
5.1263614,168.4,973013
5.726337,306.84,976595
5.0921655,162.74,977631
5.20889,182.89,977745
5.219031,184.76,979073
5.9754496,393.64,982492
5.5532413,258.07,982915
4.955901,142.01,984985
5.629086,278.41,986015
5.2835546,197.07,986101
5.7407637,311.3,986639
5.4114156,223.95,986692
5.543927,255.68,986867
5.5201135,249.66,988755
5.440471,230.55,988917
5.489432,242.12,1002233
5.593615,268.71,1002372
5.1827073,178.16,1007939
6.4512124,633.47,1008717
5.302723,200.88,1011083
5.077024,160.3,1018647
5.5722885,263.04,1025707
5.707416,301.09,1026452
5.444405,231.46,1029587
5.7222276,305.58,1034761
5.588899,267.44,1034771
5.2815924,196.68,1039211
5.4776993,239.3,1041060
6.062947,429.64,1044130
5.1756463,176.91,1047089
5.547181,256.51,1060614
5.2095947,183.02,1061343
5.0536165,156.59,1064956
5.805348,332.07,1067338
5.439145,230.25,1068523
5.838522,343.27,1069572
3.5633457,35.28,1070322
6.1381598,463.2,1071740
5.3757787,216.11,1073748
5.659367,286.97,1074936
5.5701647,262.48,1075855
5.310763,202.5,1077851
5.211871,183.44,1078049
5.100678,164.13,1079887
4.0749774,58.85,1084712
5.1280694,168.69,1085376
5.184304,178.45,1091090
5.431477,228.49,1092780
5.2897277,198.29,1094548
7.086802,1196.08,1098894
5.2787876,196.13,1100121
5.4625516,235.7,1102498
5.9745393,393.29,1102747
5.2097616,183.05,1102856
3.6165257,37.21,1106433
4.8067627,122.33,1109610
5.4833536,240.65,1109989
5.7561774,316.14,1111412
5.439019,230.22,1111418
5.5814357,265.45,1112838
5.511939,247.63,1119598
5.867139,353.24,1125212
6.2623224,524.44,1129827
5.5962925,269.43,1136384
5.2872777,197.8,1139069
5.486084,241.31,1139849
4.517036,91.56,1140144
5.513109,247.92,1147333
5.1218543,167.65,1150062
5.010715,150.01,1150128
5.2416844,188.99,1154761
5.139565,170.64,1161417
6.302692,546.04,1165432
6.0180674,410.78,1169088
5.6291175,278.42,1169142
6.264107,525.37,1169191
5.3680706,214.45,1186442
5.312942,202.95,1186506
4.992837,147.35,1186521
5.176572,177.07,1186539
4.9857697,146.32,1186559
5.1890974,179.31,1190491
5.374952,215.93,1193162
5.5191135,249.41,1193842
6.4041533,604.35,1197169
5.9169683,371.28,1198074
5.570046,262.45,1199380
5.589102,267.5,1199382
5.396658,220.67,1199594
5.573811,263.44,1201871
5.3172297,203.82,1202829
5.5029244,245.41,1206052
5.644565,282.75,1207330
6.224292,504.87,1207407
5.3705587,214.98,1207452
5.0296917,152.89,1207471
6.0169606,410.33,1211274
5.5847015,266.32,1211499
6.224471,504.96,1213201
5.4145246,224.65,1215049
5.814486,335.12,1215451
5.319825,204.35,1216365
5.465004,236.28,1216600
5.0696936,159.13,1218611
5.0652194,158.42,1218626
5.407082,222.98,1225103
5.3224626,204.89,1229996
5.1193137,167.22,1234006
5.0320024,153.24,1235805
5.5029054,245.4,1240055
6.1206546,455.16,1241225
5.0958457,163.34,1242215
5.381075,217.26,1242470
5.482525,240.45,1242745
5.735527,309.68,1249641
5.787339,326.14,1255085
5.2407126,188.8,1258555
5.0902877,162.44,1260018
3.4436471,31.3,1261435
5.2189646,184.74,1266069
6.1729865,479.62,1266363
5.6245747,277.15,1266491
5.404198,222.34,1272804
5.4376073,229.89,1282669
5.152124,172.8,1290278
4.990795,147.05,1291971
5.403601,222.21,1293412
5.6835856,294.0,1295958
5.337578,208.01,1296121
5.2352533,187.78,1305640
5.125103,168.19,1310443
5.2766967,195.72,1320149
5.7230816,305.85,1328996
5.4036555,222.22,1329067
5.537996,254.17,1329993
4.60438,99.92,1330203
5.845678,345.74,1330353
4.3476954,77.3,1331957
5.2581615,192.13,1332929
5.414336,224.6,1334981
5.4943686,243.32,1337978
5.706798,300.91,1338049
5.397623,220.88,1338105
5.545253,256.02,1338121
5.3217173,204.74,1338956
5.3723564,215.37,1343256
5.1636634,174.8,1354875
6.3164263,553.59,1356472
5.1437383,171.36,1383728
5.790152,327.06,1385618
5.7197657,304.83,1387806
5.43469,229.22,1392132
5.402792,222.03,1395001
3.2359593,25.43,1395698
5.6049333,271.76,1396721
5.6620183,287.73,1397748
5.26681,193.8,1402772
5.2245812,185.78,1406069
5.7708526,320.81,1406121
5.927075,375.06,1406337
5.571283,262.77,1410802
5.2242746,185.73,1411945
5.578623,264.71,1418423
5.203137,181.84,1418456
5.306726,201.69,1424841
5.1070266,165.18,1426674
5.799339,330.08,1429809
5.4039483,222.28,1440247
5.820266,337.06,1446649
5.3134747,203.05,1447244
5.6287155,278.3,1448933
6.116362,453.21,1451882
5.483697,240.74,1454173
5.768389,320.02,1457218
5.9909267,399.78,1458524
4.1387663,62.73,1471893
5.793332,328.1,1472974
5.3422465,208.98,1474914
4.965957,143.45,1477381
4.9949226,147.66,1478299
5.353732,211.4,1480728
5.4574404,234.5,1481054
5.221258,185.17,1481221
5.300002,200.34,1482060
5.580852,265.3,1490933
5.5515084,257.63,1491111
5.624053,277.01,1505365
5.386284,218.39,1505984
4.7270517,112.96,1506324
5.484098,240.83,1520042
5.5491815,257.03,1523790
5.3531084,211.26,1523802
5.4712253,237.75,1524083
5.904358,366.63,1524681
5.851393,347.72,1527831
5.1097884,165.64,1529855
5.1002445,164.06,1530586
5.0387783,154.28,1531051
5.1596575,174.1,1554416
5.641867,281.99,1560631
5.6698365,289.99,1563402
5.642409,282.14,1563823
5.8121057,334.32,1569123
5.692733,296.7,1579898
5.6919184,296.46,1580396
5.6956587,297.57,1580437
5.7568464,316.35,1580504
5.4585705,234.76,1580522
5.1264567,168.42,1580586
5.501592,245.08,1580624
4.811954,122.97,1583837
5.0622964,157.95,1604559
3.0183299,20.46,1608746
5.8588014,350.3,1612980
6.1482162,467.88,1613942
5.34396,209.34,1614109
5.710357,301.98,1616453
5.694164,297.13,1620515
5.741913,311.66,1624014
4.148375,63.33,1630947
5.0491724,155.89,1635995
3.3300166,27.94,1642382
4.2787757,72.15,1642736
5.962592,388.62,1647351
5.630077,278.68,1648547
4.4273605,83.71,1653208
5.4200926,225.9,1659522
5.7201858,304.96,1661060
5.3233147,205.06,1670427
5.1729717,176.44,1672204
5.6036944,271.43,1677706
5.1846685,178.51,1678347
5.1955686,180.47,1681925
4.4383597,84.64,1691141
4.6375732,103.29,1695711
5.60702,272.33,1702721
4.2055416,67.06,1721486
5.0845275,161.5,1728329
5.093277,162.92,1737505
5.349022,210.4,1738660
5.213447,183.73,1739507
5.5069075,246.39,1744379
5.3827744,217.63,1756975
4.3843884,80.19,1776811
5.4739776,238.41,1790446
5.65458,285.6,1808631
5.8550763,349.0,1808891
5.7001505,298.91,1810923
5.410968,223.85,1823916
5.7095523,301.74,1823987
5.5430813,255.46,1825397
5.470117,237.49,1826858
5.237291,188.16,1830012
5.2436814,189.37,1830227
5.785536,325.56,1830917
6.196191,490.88,1831778
5.0287404,152.74,1834026
6.0404406,420.08,1839552
5.4147367,224.69,1853214
5.81179,334.22,1858192
5.3164735,203.66,1867951
5.259514,192.39,1868652
5.551056,257.51,1882669
6.062106,429.28,1882719
5.632962,279.49,1888498
7.130316,1249.27,1889121
5.872031,354.97,1899692
5.1584196,173.89,1899976
5.990567,399.64,1908257
5.3865876,218.46,1915617
5.730231,308.04,1915882
5.6818204,293.48,1920941
5.7804184,323.89,1926867
5.2219524,185.3,1933025
5.641267,281.82,1933923
4.2195144,68.0,1938408
5.433697,228.99,1957157
5.5583,259.38,1958839
5.690867,296.15,1966739
5.5456324,256.12,1978060
5.360098,212.75,1986412
5.4386134,230.12,1987048
7.034082,1134.65,1987633
5.5798683,265.04,1999268
5.6416135,281.92,2003407
5.2104454,183.18,2005972
5.2160883,184.21,2020743
5.3387704,208.26,2029507
5.3687377,214.59,2031134
5.5639977,260.86,2036662
5.846271,345.94,2045063
5.338066,208.11,2052300
5.269692,194.36,2054024
5.097202,163.56,2054538
5.861502,351.25,2058080
5.2830005,196.96,2059446
5.7394485,310.89,2065950
4.9493704,141.09,2068875
4.8289304,125.08,2069105
5.286904,197.73,2070094
5.351418,210.91,2073044
5.3250384,205.42,2077178
5.6677375,289.38,2077957
5.4735107,238.3,2078332
5.3798532,216.99,2082868
5.065846,158.51,2087178
5.83418,341.78,2091953
5.4702487,237.52,2096374
4.9817104,145.72,2097376
5.667667,289.36,2099757
5.647492,283.58,2111196
5.628718,278.31,2114892
5.8233747,338.11,2118473
5.6625924,287.89,2122261
5.004352,149.06,2130567
5.2276425,186.35,2131287
5.347741,210.13,2131496
5.6765237,291.93,2148858
5.4043007,222.36,2152440
5.6982503,298.34,2167544
5.309673,202.28,2177176
5.2218323,185.27,2180003
5.6356864,280.25,2184062
5.5822124,265.66,2186401
5.432229,228.66,2187751
5.1655235,175.13,2199431
5.01677,150.92,2204820
5.8475385,346.38,2207843
5.4222436,226.39,2220119
5.317407,203.85,2224719
5.2257833,186.01,2237750
5.5354285,253.52,2245593
5.693403,296.9,2248576
5.2957945,199.5,2263681
5.6276526,278.01,2265321
4.6063695,100.12,2268067
5.2633896,193.14,2282469
5.859499,350.55,2288221
5.4361672,229.56,2293777
5.0343585,153.6,2307905
5.789759,326.93,2308139
4.0612807,58.05,2311660
5.5306425,252.31,2319608
5.7148814,303.35,2324304
5.790423,327.15,2327444
5.7393384,310.86,2329405
5.300921,200.52,2333994
5.3924417,219.74,2342332
5.257672,192.03,2343336
5.1920033,179.83,2348604
5.5847893,266.34,2351233
5.913373,369.95,2362929
5.432807,228.79,2368976
5.4198365,225.84,2369067
5.3345757,207.38,2373057
5.238596,188.41,2376434
6.0016894,404.11,2376967
5.389069,219.0,2377543
5.4163294,225.05,2379004
5.412566,224.21,2382152
4.82804,124.97,2391858
5.147764,172.05,2394424
3.3263075,27.84,2401795
5.79152,327.51,2402365
5.6437263,282.51,2411106
5.6751347,291.53,2412835
5.537948,254.16,2417803
4.0178347,55.58,2424905
5.6995544,298.73,2428246
5.572465,263.08,2438814
5.7849255,325.36,2439285
5.249195,190.41,2439919
